25,怦然心动,2010,9.1,1743931人评价,真正的幸福是来自内心深处。
50,闻香识女人,1992,9.1,833492人评价,史上最美的探戈。
75,阿凡达,2009,8.8,1315326人评价,绝对意义上的美轮美奂。
1,肖申克的救赎,1994,9.7,2739565人评价,希望让人自由。
2,霸王别姬,1993,9.6,2029783人评价,风华绝代。
3,阿甘正传,1994,9.5,2054961人评价,一部美国近现代史。
4,泰坦尼克号,1997,9.4,2014010人评价,失去的才是永恒的。 
5,这个杀手不太冷,1994,9.4,2195494人评价,怪蜀黍和小萝莉不得不说的故事。
6,美丽人生,1997,9.6,1261511人评价,最美的谎言。
7,千与千寻,2001,9.4,2130072人评价,最好的宫崎骏，最好的久石让。 
8,辛德勒的名单,1993,9.6,1052844人评价,拯救一个人，就是拯救整个世界。
1,肖申克的救赎,1994,9.7,2739565人评价,希望让人自由。
2,霸王别姬,1993,9.6,2029783人评价,风华绝代。
3,阿甘正传,1994,9.5,2054961人评价,一部美国近现代史。
4,泰坦尼克号,1997,9.4,2014017人评价,失去的才是永恒的。 
5,这个杀手不太冷,1994,9.4,2195494人评价,怪蜀黍和小萝莉不得不说的故事。
6,美丽人生,1997,9.6,1261511人评价,最美的谎言。
7,千与千寻,2001,9.4,2130072人评价,最好的宫崎骏，最好的久石让。 
8,辛德勒的名单,1993,9.6,1052844人评价,拯救一个人，就是拯救整个世界。
9,盗梦空间,2010,9.4,1965046人评价,诺兰给了我们一场无法盗取的梦。
10,星际穿越,2014,9.4,1693154人评价,爱是一种力量，让我们超越时空感知它的存在。
11,楚门的世界,1998,9.4,1592585人评价,如果再也不能见到你，祝你早安，午安，晚安。
12,忠犬八公的故事,2009,9.4,1338845人评价,永远都不能忘记你所爱的人。
13,海上钢琴师,1998,9.3,1601029人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
14,三傻大闹宝莱坞,2009,9.2,1777592人评价,英俊版憨豆，高情商版谢耳朵。
15,机器人总动员,2008,9.3,1256566人评价,小瓦力，大人生。
16,放牛班的春天,2004,9.3,1239161人评价,天籁一般的童声，是最接近上帝的存在。 
17,无间道,2002,9.3,1281539人评价,香港电影史上永不过时的杰作。
18,疯狂动物城,2016,9.2,1815728人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
19,大话西游之大圣娶亲,1995,9.2,1461011人评价,一生所爱。
20,控方证人,1957,9.6,505412人评价,比利・怀德满分作品。
21,熔炉,2011,9.4,889937人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
22,教父,1972,9.3,913165人评价,千万不要记恨你的对手，这样会让你失去理智。
23,当幸福来敲门,2006,9.2,1449897人评价,平民励志片。 
24,触不可及,2011,9.3,1040321人评价,满满温情的高雅喜剧。
1,肖申克的救赎,1994,9.7,2739565人评价,希望让人自由。
2,霸王别姬,1993,9.6,2029783人评价,风华绝代。
3,阿甘正传,1994,9.5,2054961人评价,一部美国近现代史。
4,泰坦尼克号,1997,9.4,2014017人评价,失去的才是永恒的。 
5,这个杀手不太冷,1994,9.4,2195494人评价,怪蜀黍和小萝莉不得不说的故事。
6,美丽人生,1997,9.6,1261511人评价,最美的谎言。
7,千与千寻,2001,9.4,2130072人评价,最好的宫崎骏，最好的久石让。 
8,辛德勒的名单,1993,9.6,1052845人评价,拯救一个人，就是拯救整个世界。
9,盗梦空间,2010,9.4,1965046人评价,诺兰给了我们一场无法盗取的梦。
10,星际穿越,2014,9.4,1693154人评价,爱是一种力量，让我们超越时空感知它的存在。
11,楚门的世界,1998,9.4,1592585人评价,如果再也不能见到你，祝你早安，午安，晚安。
12,忠犬八公的故事,2009,9.4,1338845人评价,永远都不能忘记你所爱的人。
13,海上钢琴师,1998,9.3,1601029人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
14,三傻大闹宝莱坞,2009,9.2,1777595人评价,英俊版憨豆，高情商版谢耳朵。
15,机器人总动员,2008,9.3,1256566人评价,小瓦力，大人生。
16,放牛班的春天,2004,9.3,1239161人评价,天籁一般的童声，是最接近上帝的存在。 
17,无间道,2002,9.3,1281539人评价,香港电影史上永不过时的杰作。
18,疯狂动物城,2016,9.2,1815728人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
19,大话西游之大圣娶亲,1995,9.2,1461011人评价,一生所爱。
20,控方证人,1957,9.6,505412人评价,比利・怀德满分作品。
21,熔炉,2011,9.4,889938人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
22,教父,1972,9.3,913165人评价,千万不要记恨你的对手，这样会让你失去理智。
23,当幸福来敲门,2006,9.2,1449897人评价,平民励志片。 
24,触不可及,2011,9.3,1040321人评价,满满温情的高雅喜剧。
25,怦然心动,2010,9.1,1743931人评价,真正的幸福是来自内心深处。
26,龙猫,1988,9.2,1203884人评价,人人心中都有个龙猫，童年就永远不会消失。
27,末代皇帝,1987,9.3,824275人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
28,寻梦环游记,2017,9.1,1570507人评价,死亡不是真的逝去，遗忘才是永恒的消亡。
29,蝙蝠侠：黑暗骑士,2008,9.2,1005745人评价,无尽的黑暗。
30,活着,1994,9.3,793957人评价,张艺谋最好的电影。
31,哈利・波特与魔法石,2001,9.2,1110447人评价,童话世界的开端。
32,指环王3：王者无敌,2003,9.3,762281人评价,史诗的终章。
33,乱世佳人,1939,9.3,655858人评价,Tomorrow is another day.
34,素媛,2013,9.3,650411人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
35,飞屋环游记,2009,9.1,1259882人评价,最后那些最无聊的事情，才是最值得怀念的。 
36,我不是药神,2018,9.0,1995739人评价,对我们国家而言，这样的电影多一部是一部。
37,摔跤吧！爸爸,2016,9.0,1496882人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
38,何以为家,2018,9.1,989946人评价,凝视卑弱生命，用电影改变命运。
39,十二怒汉,1957,9.4,459211人评价,1957年的理想主义。 
40,哈尔的移动城堡,2004,9.1,962089人评价,带着心爱的人在天空飞翔。
41,鬼子来了,2000,9.3,593601人评价,对敌人的仁慈，就是对自己残忍。
42,少年派的奇幻漂流,2012,9.1,1292580人评价,瑰丽壮观、无人能及的冒险之旅。
43,猫鼠游戏,2002,9.1,950161人评价,骗子大师和执著警探的你追我跑故事。 
44,让子弹飞,2010,9.0,1608136人评价,你给我翻译翻译，神马叫做TMD的惊喜。
45,大话西游之月光宝盒,1995,9.0,1164129人评价,旷古烁今。
46,钢琴家,2002,9.3,590097人评价,音乐能化解仇恨。
47,天空之城,1986,9.2,780329人评价,对天空的追逐，永不停止。 
48,海蒂和爷爷,2015,9.3,546509人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
49,指环王2：双塔奇兵,2002,9.2,713085人评价,承前启后的史诗篇章。
50,闻香识女人,1992,9.1,833492人评价,史上最美的探戈。
51,天堂电影院,1988,9.2,652043人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
52,罗马假日,1953,9.1,908818人评价,爱情哪怕只有一天。
53,大闹天宫,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),9.4,408800人评价,经典之作，历久弥新。
54,指环王1：护戒使者,2001,9.1,804065人评价,传说的开始。
55,黑客帝国,1999,9.1,798023人评价,视觉革命。
56,死亡诗社,1989,9.2,675868人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
57,绿皮书,2018,8.9,1548591人评价,去除成见，需要勇气。
58,教父2,1974,9.3,519361人评价,优雅的孤独。
59,狮子王,1994,9.1,793640人评价,动物版《哈姆雷特》。
60,辩护人,2013,9.2,563982人评价,电影的现实意义大过电影本身。
61,搏击俱乐部,1999,9.0,807442人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
62,饮食男女,1994,9.2,584184人评价,人生不能像做菜，把所有的料都准备好了才下锅。
63,美丽心灵,2001,9.1,731780人评价,爱是一切逻辑和原由。
64,本杰明・巴顿奇事,2008,9.0,937516人评价,在时间之河里感受溺水之苦。
65,穿条纹睡衣的男孩,2008,9.2,527508人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
66,窃听风暴,2006,9.2,537154人评价,别样人生。
67,情书,1995,8.9,1041549人评价,暗恋的极致。
68,两杆大烟枪,1998,9.1,568870人评价,4个臭皮匠顶个诸葛亮，盖・里奇果然不是盖的。
69,西西里的美丽传说,2000,8.9,928513人评价,美丽无罪。
70,音乐之声,1965,9.1,570209人评价,用音乐化解仇恨，让歌声串起美好。
71,看不见的客人,2016,8.8,1188795人评价,你以为你以为的就是你以为的。
72,拯救大兵瑞恩,1998,9.1,615766人评价,美利坚精神输出大片No1.
73,飞越疯人院,1975,9.1,525342人评价,自由万岁。
74,小鞋子,1997,9.2,388945人评价,奔跑的孩子是天使。
75,阿凡达,2009,8.8,1315333人评价,绝对意义上的美轮美奂。
1,肖申克的救赎,1994,9.7,2742781人评价,希望让人自由。
2,霸王别姬,1993,9.6,2032030人评价,风华绝代。
3,阿甘正传,1994,9.5,2057199人评价,一部美国近现代史。
4,泰坦尼克号,1997,9.5,2016365人评价,失去的才是永恒的。 
5,这个杀手不太冷,1994,9.4,2197517人评价,怪蜀黍和小萝莉不得不说的故事。
6,美丽人生,1997,9.6,1263319人评价,最美的谎言。
7,千与千寻,2001,9.4,2132331人评价,最好的宫崎骏，最好的久石让。 
8,辛德勒的名单,1993,9.6,1054056人评价,拯救一个人，就是拯救整个世界。
9,盗梦空间,2010,9.4,1967097人评价,诺兰给了我们一场无法盗取的梦。
10,星际穿越,2014,9.4,1696382人评价,爱是一种力量，让我们超越时空感知它的存在。
11,楚门的世界,1998,9.4,1595126人评价,如果再也不能见到你，祝你早安，午安，晚安。
12,忠犬八公的故事,2009,9.4,1340097人评价,永远都不能忘记你所爱的人。
13,海上钢琴师,1998,9.3,1602823人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
14,三傻大闹宝莱坞,2009,9.2,1779374人评价,英俊版憨豆，高情商版谢耳朵。
15,机器人总动员,2008,9.3,1257853人评价,小瓦力，大人生。
16,放牛班的春天,2004,9.3,1240653人评价,天籁一般的童声，是最接近上帝的存在。 
17,无间道,2002,9.3,1283313人评价,香港电影史上永不过时的杰作。
18,疯狂动物城,2016,9.2,1818157人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
19,大话西游之大圣娶亲,1995,9.2,1462648人评价,一生所爱。
20,控方证人,1957,9.6,506624人评价,比利・怀德满分作品。
21,熔炉,2011,9.4,891033人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
22,教父,1972,9.3,914307人评价,千万不要记恨你的对手，这样会让你失去理智。
23,当幸福来敲门,2006,9.2,1451439人评价,平民励志片。 
24,触不可及,2011,9.3,1042163人评价,满满温情的高雅喜剧。
25,怦然心动,2010,9.1,1745883人评价,真正的幸福是来自内心深处。
26,龙猫,1988,9.2,1205119人评价,人人心中都有个龙猫，童年就永远不会消失。
27,末代皇帝,1987,9.3,825486人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
28,寻梦环游记,2017,9.1,1572769人评价,死亡不是真的逝去，遗忘才是永恒的消亡。
29,蝙蝠侠：黑暗骑士,2008,9.2,1006800人评价,无尽的黑暗。
30,活着,1994,9.3,795025人评价,张艺谋最好的电影。
31,哈利・波特与魔法石,2001,9.2,1112163人评价,童话世界的开端。
32,指环王3：王者无敌,2003,9.3,763127人评价,史诗的终章。
33,乱世佳人,1939,9.3,656734人评价,Tomorrow is another day.
34,素媛,2013,9.3,651311人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
35,飞屋环游记,2009,9.1,1261233人评价,最后那些最无聊的事情，才是最值得怀念的。 
36,我不是药神,2018,9.0,1997700人评价,对我们国家而言，这样的电影多一部是一部。
37,摔跤吧！爸爸,2016,9.0,1498427人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
38,何以为家,2018,9.1,991232人评价,凝视卑弱生命，用电影改变命运。
39,十二怒汉,1957,9.4,459910人评价,1957年的理想主义。 
40,哈尔的移动城堡,2004,9.1,963436人评价,带着心爱的人在天空飞翔。
41,鬼子来了,2000,9.3,594346人评价,对敌人的仁慈，就是对自己残忍。
42,少年派的奇幻漂流,2012,9.1,1293995人评价,瑰丽壮观、无人能及的冒险之旅。
43,猫鼠游戏,2002,9.1,951910人评价,骗子大师和执著警探的你追我跑故事。 
44,让子弹飞,2010,9.0,1610199人评价,你给我翻译翻译，神马叫做TMD的惊喜。
45,大话西游之月光宝盒,1995,9.0,1165349人评价,旷古烁今。
46,钢琴家,2002,9.3,591344人评价,音乐能化解仇恨。
47,天空之城,1986,9.2,781156人评价,对天空的追逐，永不停止。 
48,海蒂和爷爷,2015,9.3,548017人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
49,指环王2：双塔奇兵,2002,9.2,713906人评价,承前启后的史诗篇章。
